name,birth,death,start,end,dynasty,area,
Maharana Hammir Singh,1 January 1314,1 January 1364,6 December 1326,7 June 1364,Sisodia,Mewar,Father of Kshetra Singh
Kshetra Singh,N/A,1 January 1382,1 January 1364,1 January 1382,Sisodia,Mewar,Father of Lakha Singh
Lakha Singh,N/A,1 January 1421,1 January 1382,1 January 1421,Sisodia,Mewar,Father of Mokal Singh
Mokal Singh,1 January 1409,1 January 1433,1 January 1421,1 January 1433,Sisodia,Mewar,Father of Rana Kumbha
Rana Kumbha,N/A,9 June 1468,15 April 1433,9 June 1468,Sisodia,Mewar,"Father of Udai Singh I, Rana Raimal"
Udai Singh I,N/A,1 January 1473,1 January 1468,1 January 1473,Sisodia,Mewar,
Rana Raimal,N/A,1 January 1509,1 January 1473,1 January 1509,Sisodia,Mewar,Father of Rana Sanga
Rana Sanga,12 April 1484,17 March 1527,4 June 1509,17 March 1527,Sisodia,Mewar,"Father of Ratan Singh II, Vikramaditya Singh, Udai Singh II"
Ratan Singh II,N/A,1 January 1531,1 January 1528,1 January 1531,Sisodia,Mewar,
Vikramaditya Singh,1 January 1517,1 January 1537,1 January 1531,1 January 1536,Sisodia,Mewar,
Udai Singh II,4 August 1540,28 February 1572,10 December 1540,28 February 1572,Sisodia,Mewar,Father of Maharana Pratap
Maharana Pratap ,9 May 1540,19 January 1597,28 February 1572,19 January 1597,Sisodia,Mewar,Father of Amar Singh I
Maharana Amar Singh I,6 March 1559,26 January 1620,19 January 1597,26 January 1620,Sisodia,Mewar,Father of Karan Singh II
Karan Singh II,7 January 1584,1 March 1628,26 January 1620,1 March 1628,Sisodia,Mewar,Father of Jagat Singh I
Jagat Singh I,1 January 1607,10 April 1652,1 March 1628,10 April 1652,Sisodia,Mewar,Father of Raj Singh I
Raj Singh I,24 September 1629,22 October 1680,15 September 1652,22 October 1680,Sisodia,Mewar,Father of Jai Singh I
Jai Singh I,5 December 1653,23 September 1698,1 January 1653,23 September 1698,Sisodia,Mewar,
Rao Jodha Rathore,28 March 1416,6 April 1489,10 July 1438,6 April 1489,Rathore,Marwar,"Father of Rao Satal, Rao Suja, Rao Bikaji"
Rao Satal Rathore,N/A,1 March 1492,6 April 1489,1 March 1492,Rathore,Marwar,
Rao Suja Rathore,N/A,October 1515,1 March 1492,2 October 1515,Rathore,Marwar,Grandfather of Rao Ganta Rathore
Rao Ganga Rathore,6 May 1484,21 May 1531,8 November 1515,1 May 1531,Rathore,Marwar,Father of Rao Maldeo Rathore
Rao Maldeo Rathore,5 December 1511,7 November 1562,9 May 1532,7 November 1562,Rathore,Marwar,Father of Rao Chandrasen Rathore
Rao Chandrasen Rathore,30 July 1541,11 January 1581,7 November 1562,11 January 1581,Rathore,Marwar,
